Query	Predicted parents
data_wrapping	indexed file, sgml, database, document type definition, query by example
database_abstraction	sargable, xml database, relational database, sql, database testing
dataism	artificial intelligence, computer science, ontology, data science, programming language
decision_knowledge	evidential reasoning approach, clinical decision support system, it risk management, expected value of including uncertainty, decision engineering
desktop_window	file control block, operating system, unix file types, windows server, windows vista
differentiable_curve	spline interpolation, approximation property, lp space, banach space, interpolation space
differentiable_programming	artificial intelligence, proximal gradient methods for learning, simplex algorithm, optimization problem, nspace
differential_compression	operating system, computer hardware, channel, real time computing, data compression
differential_field	operator, dirac algebra, dirac spinor, dirac, fourier integral operator
differential_inequality	operator, rate of convergence, convergence tests, regularization, hilbert space
differential_manifold	initial topology, sequence space, actuator, extension topology, hilbert space
differential_space_time	channel, telecommunications, computer hardware, synchronization, multiplexing
differential_testing	software quality, test suite, software, test case, software bug
differentiated_security	security information and event management, cloud computing security, internet security, computer security, network security policy
diffie	public key cryptography, cryptosystem, elliptic curve cryptography, random oracle, cryptographic primitive
diffuse_field	interrupt flag, 8 bit clean, delete character, html sanitization, hirudotherapy
diffuse_parenchymal	blank expression, ragdoll physics, kinetic typography, concept art, emoji
diffusion_line	computer graphics images, telecommunications, computer hardware, operating system, artificial intelligence
digital_alert	alarm, warning system, fire alarm system, alarm failure, physiologic monitor alarms
digital_audio_radio_service	telecommunications, digital television, broadcasting, operating system, digital video broadcasting
digital_bandwidth	telecommunications, multiplexing, bandwidth, modulation, digital video broadcasting
digital_banking	telecommunications, computer science, operating system, world wide web, database
digital_beijing	pedestrian, computer graphics images, pyramid, telecommunications, shading
digital_bus	operating system, computer hardware, embedded system, telecommunications, serial communication
digital_cinema	computer graphics images, operating system, computer hardware, multimedia, studio
digital_cinematography	8k resolution, moving image formats, computer graphics images, epsilon photography, videophile
digital_compact_cassette	computer hardware, operating system, compact disc, audio signal flow, telecommunications
digital_continuity	professional audio, video encoded invisible light, s pdif, audio signal flow, standard definition television
digital_election	telecommunications, operating system, broadcasting, channel, computer hardware
digital_engineer	software engineering, computer science, scaffold, software development process, knowledge management
digital_healthcare	mobile technology, digital television, bluetooth, customer service assurance, picture archiving and communication system
digital_immortality	artificial intelligence, computer science, operating system, programming language, computer hardware
digital_journalism	library science, new media, multimedia, technical journalism, computer science
digital_memory	semiconductor memory, computer data storage, computer hardware, operating system, non volatile memory
digital_piracy	operating system, intellectual property, computer security, computer hardware, copyright infringement
digital_planetarium	general injuries, adverse outcome pathway, hirudotherapy, domestic accident, risk function analysis
digital_privacy	internet privacy, information privacy, privacy software, privacy by design, cloud computing security
digital_research	operating system, computer science, telecommunications, computer hardware, programming language
digital_restoration	composite video, audio signal flow, computer graphics images, computer science, standard definition television
digital_studio	multimedia, computer graphics images, graphic design, studio, computer science
digital_switchover	audio signal flow, s pdif, telecommunications, analog television, dsl modem
digital_synthesizer	audio signal flow, computer hardware, audio signal, digital signal processing, analog signal processing
digital_web	world wide web, multimedia, web 2 0, web page, library science
diode_array	hirudotherapy, suspected physical abuse, internal hirudiniasis, general injuries, list poisoning
disposition_theory	artificial intelligence, machine learning, ontology, programming language, computer science
distributed_language	artificial intelligence, programming language, semantics, computer science, language acquisition
distributed_point_function	computer science, theoretical computer science, distributed computing, database, programming language
distributed_source_control	computer science, programming language, operating system, distributed computing, java
distributed_temperature	open science grid consortium, emc vplex, leaf sensor, data aggregator, key distribution in wireless sensor networks
distributed_thinking	computer science, artificial intelligence, cybernetics, machine learning, knowledge management
distributed_transaction_processing	distributed transaction, online transaction processing, transaction processing, distributed concurrency control, transaction processing system
dpcm	modulation, audio signal flow, line code, non return to zero, pulse amplitude modulation
dsdm	nystagmograph, internal hirudiniasis, contact eye, dinobdella ferox, fixation nystagmus
dynamic_dns	nsupdate, distributed transaction, log shipping, inter server, versioning file system
dynamic_ip_routing	zone routing protocol, enhanced interior gateway routing protocol, routing table, link state routing protocol, policy based routing
dynamic_line_management	operating system, computer hardware, embedded system, telecommunications, computer network
dynamic_memory_allocator	cache pollution, cache coloring, garbage collection, interleaved memory, win32 thread information block
dynamic_noise	audio signal flow, noise measurement, signal transfer function, artificial intelligence, noise reduction
dynamic_packaging	quad flat no leads package, printed circuit board, embedded system, package on package, flip chip
dynamic_programming_language	compiler, fifth generation programming language, procedural programming, declarative programming, optimizing compiler
dynamic_timing	clock skew, synchronous circuit, clock domain crossing, post silicon validation, clock gating
dynamical_symmetry	industrial trauma, intel ct, wash rack, recovery record, cms pipelines
electric_contract	payment, database transaction, telecommunications, service level requirement, port
electric_hybrid_vehicle	artificial intelligence, robot, actuator, simulation, embedded system
electric_organ	speech recognition, artificial intelligence, subvocal recognition, binaural recording, tactile sensor
electrical_capacitance_volume_tomography	composite number, printed circuit board, scaffold, electrical impedance tomography, shape memory alloy
electrical_cell	network isolator, bus coupler, fiber cable termination, power management integrated circuit, instabus
electrical_injury	alarm, electroencephalography, safety shutoff valve, needle valve, artificial intelligence
electrical_switching	stackable switch, latching switch, multiple emitter transistor, optical transistor, crossbar switch
electromagnetic_attack	computer security, cyber attack, stuxnet, decoy state, computer security compromised by hardware failure
electromagnetic_formation	coaxial antenna, antenna measurement, feko, dipole antenna, antenna
electromagnetic_hazard	electronic deception, alarm failure, immunity testing, microwave, fire alarm system
electromagnetic_spectroscopy	finger search tree, shellsort, introsort, coppersmith winograd algorithm, piece table
electromagnetic_stress	faraday wave, stokes wave, dirac sea, rayleigh wave, breaking wave
electron_bombardment	dinobdella ferox, suspected physical abuse, industrial trauma, home accidents, normal voice
electron_lithography	domestic accident, general injuries, automated auditory brainstem response, risk function analysis, suspected physical abuse
electron_product	internal hirudiniasis, fixation nystagmus, general injuries, suspected physical abuse, nystagmograph
electron_wind	stokes wave, rayleigh wave, bubble, breaking wave, surface wave
electronic_data_systems	computer science, operating system, database, programming language, telecommunications
electronic_intelligence	international meeting on computational intelligence methods for bioinformatics and biostatistics, artificial intelligence, computer science, intelligence cycle, intelligence cycle management
electronic_key	openpgp card, multos, smart card application protocol data unit, card reader, smart card
electronic_map	computer graphics images, visualization, computer vision, artificial intelligence, raster data
electronic_message_service	telecommunications, operating system, computer network, channel, broadcasting
electronic_record_management	primary identifier, invoice processing, database, identifier, secondary identifier
electronic_services_delivery	customer service assurance, service provider, telecommunications, internet access, world wide web
electronic_shelf_label	general injuries, fixation nystagmus, hirudotherapy, suspected physical abuse, redout
electronic_tags	identifier, computer hardware, operating system, card reader, information retrieval
electronic_technologies	outline of electronics, cipurse, vme extensions for instrumentation, iec 61883, electrical engineering technology
email_mailing_lists	world wide web, directory, library science, information retrieval, the internet
enterprise_capital	enterprise life cycle, credit enhancement, enterprise risk management, business analysis, payment service provider
enterprise_content_integration	knowledge management, enterprise integration, database, business process, enterprise software
enterprise_data_planning	service level requirement, service level objective, disaster recovery, business process, service product management
enterprise_dynamics	artificial intelligence, computer science, virtual machine, user interface, distributed computing
enterprise_financing	payment service provider, credit enhancement, payment order, payment, payment system
enterprise_it_integration	integrated architecture framework, enterprise integration, integrated enterprise modeling, enterprise architecture framework, enterprise application integration
enterprise_javabean	java, service oriented architecture, database, java business integration, javabeans
enterprise_marketing	business process, customer service assurance, enterprise software, service product management, enterprise integration
enterprise_services_layer	enterprise integration, service oriented architecture, enhanced telecom operations map, service level objective, customer service assurance
enterprise_sharing	database, cloud computing, database transaction, world wide web, operating system
equations_of_optics	computational science, artificial intelligence, operator, algorithm, graded index fiber
evolutionary_laws	evolutionary algorithm, evolutionary computation, evolutionary programming, crossover, evolution strategy
fatigue_alert	alarm failure, alarm, fire alarm system, delayed alarm, physiologic monitor alarms
field_infrared	general injuries, domestic accident, hirudotherapy, diaphragm check, html sanitization
file_checking	unix file types, file control block, versioning file system, stub file, file system fragmentation
finite_coxeter	galois module, modular curve, seven dimensional space, galois cohomology, abelian extension
finite_element_machine	artificial intelligence, actuator, programming language, computer science, artificial neural network
finite_fourier_transform	suspected physical abuse, contact eye, choking game, wearing eye protection, domestic accident
finite_functions	operator, hilbert space, c0 semigroup, differential operator, fourier integral operator
finite_game	video game design, artificial intelligence, turns rounds and time keeping systems in games, game developer, programming language
finite_graph	extension topology, algorithm, initial topology, theoretical computer science, artificial intelligence
finite_homogeneous	extension topology, complex network, comparison of topologies, binary tree, segment tree
finite_impulse	pulse, waveform, damping factor, butterworth filter, linear filter
finite_language	programming language, artificial intelligence, interpreter, algorithm, parsing
finite_sequence	probabilistic turing machine, two way deterministic finite automaton, ω automaton, time hierarchy theorem, buchi automaton
finite_state_verification	model checking, formal verification, extended finite state machine, timed automaton, promela
fluid_approximation	markov property, hybrid monte carlo, markov chain, monte carlo method in statistical physics, balance equation
fluid_construction_grammar	syntax, mildly context sensitive grammar formalism, generative grammar, grammar, extended affix grammar
fluorescence_activated_cell	nurms, portable stretcher, wheelchair ramp, wheelchair tires, ragdoll physics
fluorescence_ratio	internal hirudiniasis, prosthesis surgery, portable stretcher, contact eye, game port
format_definition_language	programming language, artificial intelligence, markup language, database, natural language processing
format_printing	computer hardware, operating system, impression, compact disc, computer graphics images
fourier_cosine	lossy compressed image, gradient noise, quadrature modulation, mojette transform, matrix regularization
fourier_ptychography	domestic accident, wheelchair brakes, choking game, home accidents, general injuries
frequency_camera	telecommunications, artificial intelligence, operating system, computer hardware, transmitter
frequency_diagram	surface wave, telecommunications, graded index fiber, rayleigh wave, dispersion shifted fiber
fuel_weight	sprint, arboriculture, operating system, artificial intelligence, range
functional_biodiversity	dogania subplana, acanthochelys, habitat fragmentation, dermatemydidae, applied ethics
functional_correlation	hirudotherapy, blocking nose, internal hirudiniasis, wash rack, contact eye
general_algebraic	solver, computational science, symbolic programming, programming language, simcos
general_aviation	extensible metadata platform, channel, continuous automaton, brain shape, nano brain
group_of_bits	parity bit, concatenated error correction code, decoding methods, reed solomon error correction, hamming code
hadronic_decay	hybrot, termite inspired robots, robot combat, disaster medicine, industrial trauma
hangul_code	programming language, operating system, unicode, character encoding, unicode font
homology_theory	initial topology, comparison of topologies, extension topology, embedding, sequence space
homoplasy	artificial intelligence, genetic programming, turtle, machine learning, genetic program
homotrimer	primary identifier, amoeba, internal identifier, linker, interswitch trunk
homotropic	artificial intelligence, programming language, operating system, telecommunications, computer hardware
hybrid_circuit	logic family, integrated circuit, cmos, printed circuit board, flip chip
hybrid_power_plant	artificial intelligence, operating system, computer science, computational science, embedded system
hydraulic_power_system	fanout cable, valve actuator, actuator, bus coupler, cable gland
hydroelectric_potential	artificial intelligence, operating system, computer science, computer hardware, telecommunications
hydrofoils	artificial intelligence, solidity, rope, programming language, computer graphics images
hydrogenation	hybrot, contact eye, dinobdella ferox, outline of robotics, guroo
hydrophore	geospatial analysis, gis and public health, leaf sensor, drainage density, enterprise gis
immunoglobulin_gene	clk3, protein annotation, retinoschisin, juvenile x linked retinoschisis, h 120
immunoisolation	international meeting on computational intelligence methods for bioinformatics and biostatistics, computation and neural systems, hybrot, biological immunity, a symbolic analysis of relay and switching circuits
immunological_memory	recovery memory, row hammer, write combining, memory cell, tag ram
index_of_knowledge	knowledge management, artificial intelligence, knowledge value chain, organizational learning, data mining
index_of_service	database, operating system, world wide web, computer network, computer science
indication_error	telecommunications, channel, operating system, transmitter, computer hardware
inequality_function	convergence tests, rate of convergence, spline interpolation, total least squares, least squares
information_restore	recovery record, file deletion, file integrity monitoring, int 13h, incremental backup
intensive_business_service	knowledge management, enterprise software, business process, organizational learning, enterprise integration
inverted_dirichlet	spectral theory, hyperlink, nucleosynthesis, unified medical language system, point target
inverted_transistors	operating system, computer hardware, programming language, artificial intelligence, embedded system
isolation_testing	microcontroller, boundary scan description language, serial communication, programmable interrupt controller, joint test action group
j2me	operating system, unix, embedded system, android, programming language
java_database	strictfp, java, java applet, unix file types, java naming and directory interface
java_debug	strictfp, java native interface, platform invocation services, real time java, debugging data format
java_persistence	strictfp, java, platform invocation services, java native interface, real time java
java_portlet	web idl, java, strictfp, javascript, javabeans
java_telephony	operating system, programming language, unix, java, strictfp
knot_count	cellml, adverse outcome pathway, toxicological concepts, models of collaborative tagging, concurrency semantics
knot_diagram	fanout cable, burmester s theory, sheave, flat spline, globe valve
knowledge_environment	knowledge management, organizational learning, personal knowledge management, organizational engineering, knowledge integration
kronecker_graph	ternary operation, programming language, initial topology, algorithm, embedding
kukui_nut	public data transmission service, public telephone facilities, data center services, delivery performance, area control center
latent_structures	nystagmograph, wearing eye protection, monochrome photography, portable stretcher, hirudotherapy
lattice_density	industrial trauma, suspected physical abuse, hirudotherapy, disaster medicine, adverse childhood experiences study
lattice_homomorphism	galois module, abelian extension, galois cohomology, galois extension, euclidean domain
lattice_isomorphism	galois module, abelian extension, galois cohomology, initial topology, galois extension
lattice_representation	initial topology, operator, embedding, integer points in convex polyhedra, banach space
lattice_topology	extension topology, euclidean shortest path, initial topology, comparison of topologies, spline interpolation
least_squares_monte_carlo	eye vasculature, internal hirudiniasis, hirudotherapy, dinobdella ferox, monochrome photography
lexical_field	artificial intelligence, syntax, sentence, natural language processing, noun
lexical_resource	natural language processing, syntax, grammar, noun, sentence
lexical_sample_and_all	sentence, syntax, noun, noun phrase, natural language processing
lexical_substitution	syntax, sentence, artificial intelligence, noun phrase, relative clause
lexical_syntax	syntax, noun phrase, semantics, generative grammar, noun
linear_algebra_programming	simplex algorithm, programming language, linear programming, algorithm, optimization problem
linear_arithmetic	decimal floating point, double precision floating point format, programming language, algorithm, adder
linear_binary	concatenated error correction code, parity bit, reed solomon error correction, sequential decoding, hamming code
linear_canonical_transform	bounded operator, continuous wavelet transform, modular curve, compact operator, gabor transform
linear_decision	fuzzy number, fuzzy set, fuzzy logic, fuzzy set operations, ranking
linear_inversion	non linear least squares, linear least squares, total least squares, nonlinear conjugate gradient method, residual
linear_poisson	monochrome photography, internal hirudiniasis, color print film, substance of very high concern, national historic chemical landmarks
linear_progression	programming language, artificial intelligence, algorithm, machine learning, computer science
linear_synthesis	suspected physical abuse, internal hirudiniasis, dinobdella ferox, contact eye, nystagmograph
linear_topological	initial topology, extension topology, comparison of topologies, particular point topology, strong topology
linear_transform	discrete wavelet transform, spline interpolation, interpolation, least squares, wavelet transform
linear_type_system	programming language, object, method, operating system, object oriented programming
linux_sound_architecture	operating system, unix, unix architecture, embedded system, windows vista
local_advertising	online advertising, search advertising, native advertising, advertising account executive, web banner
local_automaton	two way deterministic finite automaton, ω automaton, buchi automaton, continuous spatial automaton, quantum finite automata
local_number_portability	operating system, gsm services, unix, embedded system, multos
local_tangent	projection, coordinate system, ellipsoidal coordinates, elliptic coordinate system, spherical coordinate system
local_theory	artificial intelligence, ontology, cybernetics, operator, structuration theory
log_window	unix file types, log shipping, file control block, operating system, versioning file system
logical_distribution	zeroth order logic, programming language, intermediate logic, predicate functor logic, higher order logic
magnetic_drilling	artificial intelligence, computer hardware, cable gland, plunger, optical fiber
magnetic_drug	microwave, composite number, impression, cartridge, artificial intelligence
magnetic_impedance	output impedance, characteristic impedance, damping factor, transmission line, piezoelectric sensor
magnetic_implant	prosthesis, artificial intelligence, tactile sensor, impression, composite number
magnetic_marker_monitoring	rf portable, thermoacoustic imaging, microwave, immunity testing, photoacoustic tomography
magnetic_meridian	cassini projection, behrmann projection, p wave, bicone, galactic coordinate system
magnetic_nano	risk function analysis, additive model, automated auditory brainstem response, adverse outcome pathway, qualitative risk analysis
magnetic_poles	cassini projection, bicone, fundamental plane, geneva drive, ellipsoidal coordinates
magnetic_position	artificial intelligence, positioning system, mobile robot, computer hardware, omnidirectional antenna
magnetic_recording	audio signal flow, optical recording, digital recording, telecommunications, optical data disk
magnetic_resonance_velocimetry	photoacoustic tomography, optical tomography, full spectral imaging, ultrasound transmission tomography, electronic speckle pattern interferometry
magnetic_vector	hilbert spectral analysis, fourier integral operator, bispectrum, discrete wavelet transform, chaotic
mandelbrot_law	artificial intelligence, computer science, algorithm, operating system, programming language
manufacturing_intelligence	international meeting on computational intelligence methods for bioinformatics and biostatistics, computer science, artificial intelligence, expert system, knowledge management
markov_compression	markov model, sequential decoding, concatenated error correction code, variable order markov model, markov chain
markov_equation	markov property, markov additive process, markov chain, piecewise deterministic markov process, phase type distribution
markov_rule	markov property, law of total probability, fuzzy logic, fuzzy control system, conditional probability
markov_sequence	extensible metadata platform, lausavisa, short mast, ink printer, invisible ink
markov_tree	markov chain, variable order markov model, markov property, markov model, phase type distribution
mathematical_programming_language	fifth generation programming language, solver, symbolic programming, procedural programming, programming language
media_marketing	social media, online advertising, native advertising, new media, web 2 0
memory_engineering	semiconductor memory, interleaved memory, computer memory, erasure, memory address register
microsoft_windows_code	unix file types, gnu linux, file control block, windows vista, windows server
minimum_bias	artificial intelligence, operating system, computer science, computer hardware, brightness
minimum_crossing	range, artillery, airspace class, flight envelope protection, air traffic control
minimum_ionizing	internal hirudiniasis, ringer box, game port, datagram delivery protocol, nystagmograph
minimum_spanning_forests	suurballe s algorithm, euclidean shortest path, segment tree, nearest neighbor chain algorithm, yen s algorithm
mirv	artillery, adversary, crows, flight envelope protection, range
mission_systems	common data link, distributed interactive simulation, reference architecture, electronic warfare support measures, arinc 653
mobility_as_a_service	gprs roaming exchange, service delivery platform, customer service assurance, application enablement, visitor based network
motion_cueing	simulator sickness, virtual reality, eye tracking, artificial intelligence, simulation
movement_resistance	port, lever, artificial intelligence, telecommunications, robot
multimedia_broadcast	telecommunications, broadcasting, digital television, digital video broadcasting, internet television
multinational_telecommunications	telecommunications, public services network, broadband, class 5 telephone switch, class 4 telephone switch
multiomics	bellcrank, diaphragm check, geneva drive, fixation nystagmus, absent vestibular function
multiparty_communication	telecommunications, computer security, key distribution, computer network, distributed computing
multiphonics	eye vasculature, toxicological concepts, network virtualization using generic routing encapsulation, primary atmosphere, adverse outcome pathway
multiple_recursion	programming language, simply typed lambda calculus, l attributed grammar, tree adjoining grammar, bottom up parsing
multiple_spanning_tree_protocol	routing table, policy based routing, zone routing protocol, enhanced interior gateway routing protocol, link state routing protocol
multiplicative_method	artificial intelligence, decision theory, fuzzy logic, machine learning, bayesian probability
multiplicity_matrix	ternary operation, operator, algorithm, embedding, programming language
multipole_analysis	elliptic coordinate system, parabolic coordinates, operator, ellipsoidal coordinates, computational science
multisensory_learning	artificial intelligence, haptic technology, robot learning, human computer interaction, virtual reality
multivariate_polynomial	artificial intelligence, least squares, linear regression, x bar chart, algorithm
multivariate_testing	multivariate statistics, one way analysis of variance, linear regression, regression analysis, f test
mutation_engine	programming language, computer science, artificial intelligence, operating system, algorithm
nanothermometer	photoacoustic tomography, optical imaging, staring array, constant fraction discriminator, johnson nyquist noise
nanotomography	automated auditory brainstem response, wheelchair brakes, home accidents, wearing eye protection, ringer box
network_application_management	element management system, simple network management protocol, network management station, network information system, network management application
network_browsing	world wide web, the internet, operating system, static web page, dynamic web page
network_byte	operating system, computer network, file system fragmentation, file control block, unix file types
network_interface_layer	computer network, distributed computing, operating system, network packet, intelligent computer network
network_level	operating system, world wide web, computer network, server, group policy
neutral_data	telecommunications, customer service assurance, service provider, database, service level objective
neutron_hodoscope	hirudotherapy, suspected physical abuse, general injuries, toxicological concepts, national historic chemical landmarks
next_order	toxicological concepts, adverse outcome pathway, eye vasculature, industrial trauma, evidence based toxicology
nuclear_polarization	occupational injury, suspected physical abuse, general injuries, industrial trauma, hirudotherapy
numerical_weather	scleral staphyloma, congenital retinoschisis, nitroquinolines, juvenile x linked retinoschisis, hirudiniasis
offset_carrier_modulation	telecommunications, modulation, transmitter, frequency offset, baseband
operational_stability	disaster recovery, port, guard, business continuity, fault tolerance
optic_ataxia	congenital nystagmus, eye movement, ventral paraflocculus, oscillopsia, saccade
optic_tectum	retinoschisis, x linked retinoschisis, ventral paraflocculus, retinal detachment, lateral inhibition
optical_anisotropy	industrial trauma, suspected physical abuse, hirudotherapy, occupational injury, domestic accident
optical_astronomy	html sanitization, list poisoning, supertalk, domestic accident, hirudotherapy
optical_beam	supertalk, auditory verbal agnosia, hirudotherapy, hamburg notation system, suspected physical abuse
optical_bloch	hirudotherapy, peptide spectral library, occupational toxicology, peptideprophet, ottawa knee rules
optical_braille	unicode font, numeric character reference, font, chinese characters, character encoding
optical_cross_section	hirudotherapy, suspected physical abuse, faked death, general injuries, wearing eye protection
optical_density	suspected physical abuse, hirudotherapy, handwriting difficulties, prosthesis surgery, supertalk
optical_landing_system	pict, internal hirudiniasis, htree, ogg page, supertalk
optical_laser	supertalk, game port, list poisoning, pict, portable stretcher
optical_phase_conjugation	fiber laser, dispersion shifted fiber, zero dispersion wavelength, ultrashort pulse, femtosecond pulse shaping
paramagnetic_resonance	home accidents, occupational injury, domestic accident, choking game, climbing lane
path_differential_absorption	suspected physical abuse, internal hirudiniasis, nystagmograph, hirudotherapy, dinobdella ferox
path_language	programming language, parsing, artificial intelligence, tree adjoining grammar, l attributed grammar
phase_peptide	suspected physical abuse, fixation nystagmus, home accidents, general injuries, nystagmograph
point_field	dirac, dirac sea, operator, artificial intelligence, maximum entropy thermodynamics
polygenic_risk_score	multivariate analysis, nemenyi test, regression analysis, linear regression, receiver operating characteristic
polygon_partitioning	bounding interval hierarchy, constrained delaunay triangulation, pitteway triangulation, bowyer watson algorithm, bounding volume hierarchy
polymer_chain	suspected physical abuse, general injuries, adverse childhood experiences study, industrial trauma, disaster medicine
polymetre	abnormal pulse, taking pulse, unequal pulse, inertance, geneva drive
polynomial_algebra	algorithm, normal basis, programming language, boolean algebra, arbitrary precision arithmetic
